user_id,ad_id,age,location,ad_copy,product_type,ad_clicked,ad_type,pages_visited_this_session,site_visit_frequency
6461380c-f03c-432d-abf8-d4f9fb1f4e28,31516856-be90-4155-b681-87c31fa946b8,37,Africa,Captivate the Crowd with your Yeet Charisma Couture Collections.,clothing,0,sidebar,8,4.034782404463532
8d58fb8a-5656-408d-9bf0-330fee82bf12,407fe646-bb2d-4f25-a630-606450b83434,50,North America,Captivate the Crowd with Yeet Charisma Couture Collections.,beauty,0,banner,3,1.971319466742001
db166483-dd99-4420-8265-2981477a359d,7f400246-d613-4d91-89eb-fa3e301ea58b,20,South America,Experience Cinematic Brilliance at Home with FlixMax.Buy one get one free,books,0,sidebar,6,1.8510305156722848
a50ad23e-90ed-4845-b62f-c849263eeb90,16feceb3-178f-41b5-b057-9b765543f843,33,North America,Efficiency Meets Elegance with Aurora Hybrid.Buy one get one free,home,1,banner,8,0.792483805199034
1d9d9266-5cd3-4b25-be2d-8fd74af7cd28,98736a79-cd33-490e-b18b-7f000b2796be,21,North America,Experience Unmatched Elegance with Serenity Luxury Cars. Buy one get one free,home,0,banner,4,3.4440402740548643
ac01001f-39c0-4510-8812-af4aefaf3ebe,aa241c04-723f-4f65-8e9e-fb706e41f7eb,59,South America,Define Your Era with TimelessThreads.,clothing,0,pop-up,7,4.226534379409992
8d5b7a1c-2ff8-4e14-9008-3e3eedf6012b,98736a79-cd33-490e-b18b-7f000b2796be,61,South America,Experience Unmatched Elegance with Serenity Luxury Cars. Buy one get one free,home,1,pop-up,2,2.6190346300172336
7c9bc9cf-cf31-4bda-96ac-647f7c821306,1fa9955c-6591-4982-9c9d-021d43f565fc,66,Europe,Simplicity Meets Sophistication with PureLine Attire. Buy one get one free,clothing,1,pop-up,9,2.0256449235015848
66232d4b-0b54-4dfc-978d-6b8d8836d1be,60a6471a-bf77-4790-b74b-61b44b879204,40,Asia,Bring Stories to Life with Lumina Projectors. Buy one get one free,books,1,pop-up,4,3.19154494897964
6797eeba-cb58-412f-9f3f-54e37a324cab,f117dff6-3b73-4c08-a750-dcd47410a107,37,South America,Unleash the Thrills of Yeet with The Tickler!,books,0,sidebar,5,4.439200744076532
d84d96fb-9b1d-4f98-9f10-5df74baaebb1,445e0d36-2873-4f50-994f-0fdc3f78a9a6,35,South America,Change Your Yeet View with OmniLens.,electronics,0,sidebar,2,0.9623425826133628
54379b87-8de3-4741-be50-21014a9aad75,1be143da-f6a1-4095-bf60-02e73381bacb,19,North America,Experience Wonder like Never Before! Yeet,books,1,sidebar,5,4.91558790097474
